metric,area,x-coord,y-coord
mae_train,4.4558761011824295e-41,2.7097893169688848e-68,2.064951794425363e-87
mae_test,0.014320507533521718,0.12203955657466202,0.10907553295402055
r2_train,2.6850762898980062e-49,1.2046071021360209e-92,1.864450134165572e-106
r2_test,0.05680106063904169,0.2920064100884483,0.3009915242926383
