,area,x-coord,y-coord
mae_train,3.740299194243451e-07,4.109484319556776e-35,7.567592159797647e-35
mae_test,0.044274156587055274,0.1540784970120062,0.14365977951930503
r2_train,7.544326371275937e-10,2.9096495866633472e-34,3.6835025605535063e-37
r2_test,0.09685873660501007,0.27419528588200887,0.28013481322901634
