,area,x-coord,y-coord
mae_train,8.852351004894392e-36,2.3890599055621388e-08,9.540699516143852e-32
mae_test,3.4205108033184044e-30,0.006289930208981799,7.565055500913937e-19
r2_train,2.0442220140464602e-26,1.424127701695253e-06,2.671964461654359e-36
r2_test,2.2810480922208935e-14,0.2049672131642535,6.60453833594669e-22
